;0;1;2;3;4;genre
299;electronic;hardcore;hardcore;hardcore;hardcore;mákina
300;electronic;hardcore;hardcore;hardcore;hardcore;speedcore
301;electronic;hardcore;hardcore;hardcore;hardcore;uk hardcore
302;electronic;hardcore;hardcore;hardcore;hardcore;doomcore
303;electronic;hardstyle;hardstyle;hardstyle;hardstyle;hardstyle
304;electronic;hardstyle;hardstyle;hardstyle;hardstyle;dubstyle
305;electronic;hardstyle;hardstyle;hardstyle;hardstyle;jumpstyle
306;electronic;hardstyle;hardstyle;hardstyle;hardstyle;lento violento
307;electronic;hi-nrg;hi-nrg;hi-nrg;hi-nrg;hi-nrg
308;electronic;hi-nrg;hi-nrg;hi-nrg;hi-nrg;eurobeat
309;electronic;hi-nrg;eurodance;eurodance;eurodance;eurodance
310;electronic;hi-nrg;eurodance;eurodance;eurodance;bubblegum dance
311;electronic;hi-nrg;eurodance;eurodance;eurodance;italo dance
312;electronic;house music;house music;house music;house music;house music
313;electronic;house music;house music;house music;house music;acid house
314;electronic;house music;house music;house music;house music;ambient house
315;electronic;house music;house music;house music;house music;balearic beat
316;electronic;house music;house music;house music;house music;chicago house
317;electronic;house music;deep house;deep house;deep house;deep house
318;electronic;house music;deep house;deep house;deep house;future house
319;electronic;house music;deep house;deep house;deep house;tropical house
320;electronic;house music;house music;house music;house music;bouncy house
321;electronic;house music;house music;house music;house music;diva house
322;electronic;house music;electro house;electro house;electro house;electro house
323;electronic;house music;electro house;electro house;electro house;big room
324;electronic;house music;electro house;electro house;electro house;complextro
325;electronic;house music;electro house;electro house;electro house;fidget house
326;electronic;house music;electro house;electro house;electro house;dutch house
327;electronic;house music;electro house;moombahton;moombahton;moombahton
328;electronic;house music;electro house;moombahton;moombahton;moombahcore
329;electronic;house music;house music;house music;house music;electro swing
330;electronic;house music;house music;house music;house music;french house
331;electronic;house music;house music;house music;house music;funky house
332;electronic;house music;house music;house music;house music;garage house
333;electronic;house music;ghetto house;ghetto house;ghetto house;ghetto house
334;electronic;house music;ghetto house;ghetto house;ghetto house;ghettotech
335;electronic;house music;house music;house music;house music;hardbag
336;electronic;house music;hard house;hard house;hard house;hard house
337;electronic;house music;hard house;hard nrg;hard nrg;hard nrg
338;electronic;house music;hard house;hard nrg;hard nrg;nu-nrg
339;electronic;house music;house music;house music;house music;house
340;electronic;house music;house music;house music;house music;hip house
341;electronic;house music;house music;house music;house music;italo house
342;electronic;house music;house music;house music;house music;jazz house
343;electronic;house music;house music;house music;house music;kwaito
344;electronic;house music;house music;house music;house music;latin house
345;electronic;house music;house music;house music;house music;microhouse
346;electronic;house music;house music;house music;house music;new beat
347;electronic;house music;house music;house music;house music;outsider house
348;electronic;house music;house music;house music;house music;progressive house
349;electronic;house music;house music;house music;house music;rara tech
350;electronic;house music;house music;house music;house music;tech house
351;electronic;house music;house music;house music;house music;tribal house
352;electronic;house music;house music;house music;house music;trival
353;electronic;house music;house music;house music;house music;witch house
354;electronic;industrial music;industrial music;industrial music;industrial music;industrial music
355;electronic;industrial music;industrial music;industrial music;industrial music;aggrotech
356;electronic;industrial music;industrial music;industrial music;industrial music;cybergrind
357;electronic;industrial music;industrial music;industrial music;industrial music;electro-industrial
358;electronic;industrial music;industrial music;industrial music;industrial music;dark electro
359;electronic;industrial music;industrial music;industrial music;industrial music;electronic body music
360;electronic;industrial music;industrial music;industrial music;industrial music;futurepop
361;electronic;industrial music;industrial music;industrial music;industrial music;industrial metal
362;electronic;industrial music;industrial music;industrial music;industrial music;industrial rock
363;electronic;industrial music;industrial music;industrial music;industrial music;japanoise
364;electronic;industrial music;industrial music;industrial music;industrial music;neue deutsche härte
365;electronic;industrial music;power electronics;power electronics;power electronics;power electronics
366;electronic;industrial music;power electronics;power electronics;power electronics;death industrial
367;electronic;industrial music;industrial music;industrial music;industrial music;power noise
368;electronic;idm;idm;idm;idm;idm
369;electronic;idm;glitch;glitch;glitch;glitch
370;electronic;idm;glitch;glitch;glitch;glitch hop
371;electronic;idm;idm;idm;idm;wonky
372;electronic;jungle;jungle;jungle;jungle;jungle
373;electronic;jungle;jungle;jungle;jungle;darkcore jungle
374;electronic;jungle;jungle;jungle;jungle;raggacore
375;electronic;post-disco;post-disco;post-disco;post-disco;post-disco
376;electronic;post-disco;post-disco;post-disco;post-disco;boogie
377;electronic;post-disco;electropop;electropop;electropop;electropop
378;electronic;post-disco;electropop;electropop;electropop;chillwave
379;electronic;post-disco;post-disco;post-disco;post-disco;dance-pop
380;electronic;post-disco;post-disco;post-disco;post-disco;dance-rock
381;electronic;techno;techno;techno;techno;techno
382;electronic;techno;techno;techno;techno;acid techno
383;electronic;techno;techno;techno;techno;detroit techno
384;electronic;techno;techno;techno;techno;dub techno
385;electronic;techno;techno;techno;techno;free tekno
386;electronic;techno;techno;techno;techno;minimal techno
387;electronic;techno;techno;techno;techno;nortec
388;electronic;techno;techno;techno;techno;tecno brega
389;electronic;techno;techno;techno;techno;techdombe
390;electronic;trance music;trance music;trance music;trance music;trance music
391;electronic;trance music;trance music;trance music;trance music;acid trance
392;electronic;trance music;trance music;trance music;trance music;balearic trance
393;electronic;trance music;trance music;trance music;trance music;dream trance
394;electronic;trance music;trance music;trance music;trance music;goa trance
395;electronic;trance music;trance music;trance music;trance music;hard trance
396;electronic;trance music;trance music;trance music;trance music;nitzhonot
397;electronic;trance music;psychedelic trance;psychedelic trance;psychedelic trance;psychedelic trance
398;electronic;trance music;psychedelic trance;psychedelic trance;psychedelic trance;suomisaundi
399;electronic;trance music;psychedelic trance;psychedelic trance;psychedelic trance;full on
400;electronic;trance music;trance music;trance music;trance music;progressive trance
401;electronic;trance music;trance music;trance music;trance music;tech trance
402;electronic;trance music;trance music;trance music;trance music;uplifting trance
403;electronic;trance music;trance music;trance music;trance music;vocal trance
404;electronic;uk garage;uk garage;uk garage;uk garage;uk garage
405;electronic;uk garage;2-step garage;2-step garage;2-step garage;2-step garage
406;electronic;uk garage;2-step garage;dubstep;dubstep;dubstep
407;electronic;uk garage;2-step garage;dubstep;dubstep;brostep
408;electronic;uk garage;2-step garage;dubstep;dubstep;chillstep
409;electronic;uk garage;2-step garage;dubstep;dubstep;reggaestep
410;electronic;uk garage;2-step garage;dubstep;dubstep;trapstep
411;electronic;uk garage;2-step garage;dubstep;dubstep;liquid dubstep
412;electronic;uk garage;2-step garage;dubstep;dubstep;metalstep
413;electronic;uk garage;2-step garage;2-step garage;2-step garage;neurohop
414;electronic;uk garage;uk garage;uk garage;uk garage;breakstep
415;electronic;uk garage;uk garage;uk garage;uk garage;future garage
416;electronic;uk garage;grime;grime;grime;grime
417;electronic;uk garage;grime;grime;grime;grindie
418;electronic;uk garage;speed garage;speed garage;speed garage;speed garage
419;electronic;uk garage;speed garage;speed garage;speed garage;bassline
420;electronic;uk garage;uk garage;uk garage;uk garage;uk funky
421;electronic;electronic;electronic;electronic;electronic;vaporwave
422;electronic;video game music;video game music;video game music;video game music;video game music
423;electronic;video game music;chiptune;chiptune;chiptune;chiptune
424;electronic;video game music;chiptune;chiptune;chiptune;bitpop
425;electronic;video game music;chiptune;chiptune;chiptune;game boy music
426;electronic;video game music;chiptune;chiptune;chiptune;skweee
427;electronic;video game music;video game music;video game music;video game music;nintendocore
428;electronic;electronic;electronic;electronic;electronic;electronic
429;folk;folk;folk;folk;folk;american folk revival
430;folk;folk;folk;folk;folk;anti-folk
431;folk;folk;folk;folk;folk;british folk revival
432;folk;folk;folk;folk;folk;celtic music
433;folk;folk;folk;folk;folk;chalga
434;folk;folk;folk;folk;folk;contemporary folk
435;folk;folk;folk;folk;folk;filk music
436;folk;folk;folk;folk;folk;folktronica
437;folk;folk;folk;folk;folk;freak folk
438;folk;folk;folk;folk;folk;indie folk
439;folk;folk;folk;folk;folk;industrial folk
440;folk;folk;folk;folk;folk;neofolk
441;folk;folk;folk;folk;folk;progressive folk
442;folk;folk;folk;folk;folk;protest song
443;folk;folk;folk;folk;folk;psychedelic folk
444;folk;folk;folk;folk;folk;singer-songwriter
445;folk;folk;folk;folk;folk;skiffle
446;folk;folk;folk;folk;folk;sung poetry
447;folk;folk;folk;folk;folk;cowboy/western music
448;folk;folk;folk;folk;folk;folk
449;hip hop;trap;trap;trap;trap;trap
450;hip hop;trap;trap;trap;trap;trap music
451;hip hop;rap;rap;rap;rap;rap
452;hip hop;rap;rap;rap;rap;mumble rap
453;hip hop;hip hop;hip hop;hip hop;hip hop;alternative hip hop
454;hip hop;hip hop;hip hop;hip hop;hip hop;australian hip hop
455;hip hop;hip hop;hip hop;hip hop;hip hop;bongo flava
456;hip hop;hip hop;hip hop;hip hop;hip hop;british hip hop
457;hip hop;hip hop;hip hop;hip hop;hip hop;chap hop
458;hip hop;hip hop;hip hop;hip hop;hip hop;christian hip hop
459;hip hop;hip hop;hip hop;hip hop;hip hop;conscious hip hop
460;hip hop;hip hop;hip hop;hip hop;hip hop;crunk
461;hip hop;hip hop;hip hop;hip hop;hip hop;crunkcore
462;hip hop;hip hop;hip hop;hip hop;hip hop;drill
463;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop
464;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;baltimore club
465;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;brick city club
466;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;hardcore hip hop
467;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;mafioso rap
468;hip hop;east coast hip hop;east coast hip hop;east coast hip hop;east coast hip hop;new jersey hip hop
469;hip hop;hip hop;hip hop;hip hop;hip hop;electro music
470;hip hop;hip hop;hip hop;hip hop;hip hop;experimental hip hop
471;hip hop;hip hop;hip hop;hip hop;hip hop;ghetto house
472;hip hop;hip hop;hip hop;hip hop;hip hop;ghettotech
473;hip hop;hip hop;hip hop;hip hop;hip hop;golden age hip hop
474;hip hop;hip hop;hip hop;hip hop;hip hop;grime
475;hip hop;hip hop;hip hop;hip hop;hip hop;hardcore hip hop
476;hip hop;hip hop;hip hop;hip hop;hip hop;hip house
477;hip hop;hip hop;hip hop;hip hop;hip hop;hiplife
478;hip hop;hip hop;hip hop;hip hop;hip hop;hip pop
